,Type,Ort
33826,explosion,"3 km SSW of Scotts Mills, Oregon"
33939,explosion,"11 km ENE of Fox, Alaska"
34245,explosion,"13 km SSE of Princeton, Canada"
34250,explosion,"9 km SE of Morton, Washington"
34952,explosion,"9 km ENE of Fox, Alaska"
35312,explosion,"16 km NNW of Two Rivers, Alaska"
35353,explosion,"14 km ENE of Fair Oaks, Oregon"
35365,explosion,"6 km SSW of Port Ludlow, Washington"
35669,explosion,"12 km ENE of Fox, Alaska"
35713,explosion,"13 km ENE of Kalama, Washington"
35731,explosion,"6 km NW of Greenwater, Washington"
35742,explosion,"3 km WNW of Rockford Bay, Idaho"
36037,explosion,"6 km SW of Prineville, Oregon"
36057,explosion,Central Alaska
36069,explosion,"5 km SE of Bend, Oregon"
36091,explosion,"9 km S of Princeton, Canada"
36113,explosion,"1 km WSW of Kalama, Washington"
36121,explosion,"10 km NE of Abbotsford, Canada"
36430,explosion,"6 km NNW of Sunriver, Oregon"
36442,explosion,"8 km NNW of Six Mile, Canada"
36447,explosion,"11 km ENE of Fox, Alaska"
36466,explosion,"2 km S of Kapowsin, Washington"
36477,explosion,"1 km WNW of Langford, Canada"
36494,explosion,"11 km WSW of Port Angeles, Washington"
36498,explosion,"10 km SE of Acme, Washington"
36521,explosion,"10 km E of Abbotsford, Canada"
36818,explosion,"11 km E of Fox, Alaska"
36820,explosion,"1 km ENE of Granite Falls, Washington"
36825,explosion,"8 km ENE of Abbotsford, Canada"
37320,explosion,"12 km E of Fox, Alaska"
37703,explosion,"11 km ENE of Fox, Alaska"
37725,explosion,"1 km ESE of Riverside, Washington"
37732,explosion,"6 km SW of Gorst, Washington"
38187,explosion,"13 km E of Fox, Alaska"
38556,explosion,"13 km E of Fox, Alaska"
38955,explosion,"11 km ENE of Fox, Alaska"
39362,explosion,"11 km E of Fox, Alaska"
39386,explosion,"15 km SSE of Princeton, Canada"
39423,explosion,"14 km N of Two Rivers, Alaska"
39746,explosion,"3 km E of Selah, Washington"
39751,explosion,"13 km E of Fox, Alaska"
39773,explosion,Oregon
39800,explosion,Washington
40187,explosion,"9 km ENE of Fox, Alaska"
40237,explosion,"4 km W of Dundee, Oregon"
40588,explosion,"12 km ENE of Fox, Alaska"
40632,explosion,"1 km NE of Eatonville, Washington"
40666,explosion,"3 km N of Mead, Washington"
40668,explosion,"6 km SSW of Port Ludlow, Washington"
40691,explosion,"3 km SSW of Silvana, Washington"
40995,explosion,"11 km ENE of Fox, Alaska"
41071,explosion,"12 km NE of Woodland, Washington"
41108,explosion,"16 km NE of Amboy, Washington"
41447,explosion,Washington
41448,explosion,"16 km N of Two Rivers, Alaska"
41484,explosion,"8 km S of Princeton, Canada"
41525,explosion,"7 km WSW of Amanda Park, Washington"
41951,explosion,"10 km ENE of Fox, Alaska"
42321,explosion,"8 km NNW of Healy, Alaska"
42326,explosion,"12 km ENE of Fox, Alaska"
42637,explosion,"9 km ENE of Fox, Alaska"
42963,explosion,"11 km E of Wilkeson, Washington"
43051,explosion,"13 km E of La Pine, Oregon"
43092,explosion,
43432,explosion,"4 km NNW of Lewisville, Washington"
43446,explosion,"15 km S of Princeton, Canada"
43459,explosion,"9 km W of Melrose, Oregon"
43466,explosion,"3 km SW of Langford, Canada"
43468,explosion,"11 km ENE of Terrebonne, Oregon"
43471,explosion,"16 km N of Two Rivers, Alaska"
43502,explosion,"2 km NE of Tanglewilde-Thompson Place, Washington"
43758,explosion,"9 km E of Glasgow, Oregon"
43831,explosion,"12 km ENE of Fox, Alaska"
44168,explosion,"11 km ENE of Fox, Alaska"
44178,explosion,"11 km N of Maple Falls, Washington"
44586,explosion,"15 km NNW of Two Rivers, Alaska"
44949,explosion,"14 km E of Fox, Alaska"
45321,explosion,"13 km ENE of Fox, Alaska"
45356,explosion,"15 km SSE of Princeton, Canada"
45414,explosion,"15 km E of Weston, Oregon"
45707,explosion,"8 km ENE of Fox, Alaska"
